title,url,publishedAt
Apple launches new iPad Air and Apple One subscription,https://www.theguardian.com/technology/2020/sep/15/apple-launches-new-ipad-air-and-apple-one-subscription,2020-09-15T18:34:08Z
How to make apple cider vinegar | Alys Fowler,https://www.theguardian.com/lifeandstyle/2020/nov/07/how-to-make-apple-cider-vinegar,2020-11-07T11:00:09Z
"Apple AirPods Max review: stunning sound, painful price",https://www.theguardian.com/technology/2020/dec/21/apple-airpods-max-review-bluetooth-noise-cancelling-headphones-sound-price,2020-12-21T07:00:40Z
Elon Musk: I tried to sell Tesla to Apple,https://www.theguardian.com/technology/2020/dec/23/elon-musk-i-tried-to-sell-tesla-to-apple,2020-12-23T02:08:36Z
Tamal Ray's recipe for apple danish pastries | The sweet spot,https://www.theguardian.com/food/2020/oct/31/tamal-ray-recipe-for-apple-danish-pastries,2020-10-31T11:30:49Z
Apple accuses Facebook of 'disregard for user privacy',https://www.theguardian.com/technology/2020/nov/20/apple-accuses-facebook-of-disregard-for-user-privacy,2020-11-20T12:48:27Z
Facebook's attempt to vilify Apple looks like sour grapes,https://www.theguardian.com/technology/2020/dec/16/facebooks-attempt-to-vilify-apple-tastes-like-sour-grapes,2020-12-16T19:50:11Z
"Apple event 2020: iPhone giant reveals Apple Watch 6, Fitness+ and new iPads - live updates",https://www.theguardian.com/technology/live/2020/sep/15/apple-event-2020-iphone-giant-new-ipads-apple-watches-and-more-live-updates,2020-09-15T18:13:10Z
Pork belly with apple and thyme by Trine Hahnemann,https://www.theguardian.com/food/2020/nov/23/pork-belly-with-apple-and-thyme-by-trine-hahnemann,2020-11-23T08:00:48Z
How to make the perfect apple charlotte – recipe | Felicity Cloake's How to make the perfect…,https://www.theguardian.com/food/2020/oct/21/how-to-make-the-perfect-apple-charlotte-recipe,2020-10-21T11:00:23Z
Apple removes Vybe Together app used to arrange parties during Covid,https://www.theguardian.com/world/2020/dec/30/apple-pulls-vybe-together-party-app-from-app-store,2020-12-30T14:11:29Z
Apple MacBook Air (M1) review: gamechanging speed and battery life,https://www.theguardian.com/technology/2020/dec/09/apple-macbook-air-m1-review-gamechanging-speed-and-battery-life,2020-12-09T07:00:31Z
Liam Charles recipe for apple pie tacos | The sweet spot,https://www.theguardian.com/food/2020/sep/11/liam-charles-recipe-for-apple-pie-tacos,2020-09-11T09:03:32Z
Apple unveils its first over-ear headphones – the £549 AirPods Max,https://www.theguardian.com/technology/2020/dec/08/apple-unveils-its-first-over-ear-headphones-the-549-airpods-max,2020-12-08T15:41:06Z
Apple faces privacy case in Europe over iPhone tracking ID,https://www.theguardian.com/technology/2020/nov/17/apple-faces-privacy-case-in-europe-over-iphone-tracking-id,2020-11-17T15:36:45Z
AG Cook: Apple review – magical shifts in tone,https://www.theguardian.com/music/2020/sep/20/ag-cook-apple-review-second-album,2020-09-20T14:00:47Z
Tamal Ray's recipe for apple and pear tart | The sweet spot,https://www.theguardian.com/food/2020/sep/19/tamal-ray-recipe-apple-and-pear-tart,2020-09-19T10:30:14Z
Apple becomes Wall Street's first $2tn company,https://www.theguardian.com/technology/2020/aug/19/apple-becomes-wall-streets-first-2tn-company,2020-08-19T21:47:43Z
Amazon and Apple 'not playing their part' in tackling electronic waste,https://www.theguardian.com/technology/2020/nov/26/amazon-and-apple-not-playing-their-part-in-tackling-electronic-waste,2020-11-26T07:00:51Z
"Part human, part machine: is Apple turning us all into cyborgs?",https://www.theguardian.com/technology/2020/nov/25/part-human-part-machine-is-apple-turning-us-all-into-cyborgs,2020-11-25T06:00:20Z
Apple Watch SE review: an almost great cheaper option,https://www.theguardian.com/technology/2020/oct/08/apple-watch-se-review-an-almost-great-cheaper-option,2020-10-08T06:00:29Z
"M1 lorry hijack gang stole £5m of Apple products, say police",https://www.theguardian.com/uk-news/2020/nov/17/m1-lorry-hijack-gang-made-off-with-5m-of-apple-products-say-police,2020-11-17T12:50:39Z
Airbnb to collaborate with former Apple design chief Jony Ive,https://www.theguardian.com/business/2020/oct/22/airbnb-collaborate-apple-design-chief-jony-ive,2020-10-22T10:37:10Z
European commission to appeal against €13bn Apple tax ruling,https://www.theguardian.com/technology/2020/sep/25/european-commission-appeal-against-apple-tax-ruling-ireland,2020-09-25T13:34:00Z
Apple unveils new 5G iPhone 12 line in multiple sizes,https://www.theguardian.com/technology/2020/oct/13/apple-unveils-new-5g-iphone-12-line-in-multiple-sizes,2020-10-13T18:50:51Z
Apple Watch Series 6 and cheaper Watch SE launched,https://www.theguardian.com/technology/2020/sep/15/apple-watch-series-6-and-cheaper-watch-se-launched,2020-09-15T17:56:54Z
Apple One services bundle could be launched within days,https://www.theguardian.com/technology/2020/sep/11/apple-one-subscription-bundle,2020-09-11T15:44:17Z
Fortnite maker Epic Games sues Apple in Australia for App Store ban,https://www.theguardian.com/technology/2020/nov/18/fortnite-maker-epic-games-sues-apple-in-australia-for-app-store-ban,2020-11-18T02:55:14Z
"Apple Watch Series 6 review: faster, cheaper, still the best",https://www.theguardian.com/technology/2020/oct/05/apple-watch-series-6-review-faster-cheaper-still-the-best,2020-10-05T06:00:14Z
"Apple launches Mac mini, MacBook Air and Pro with iPhone-like chips",https://www.theguardian.com/technology/2020/nov/10/apple-mac-mini-macbook-air-and-pro-with-iphone-like-chips-launch,2020-11-10T21:09:39Z
"The 50 best albums of 2020, No 1: Fiona Apple – Fetch the Bolt Cutters",https://www.theguardian.com/music/2020/dec/18/the-50-best-albums-of-2020-no-1-fiona-apple-fetch-the-bolt-cutters,2020-12-18T06:00:01Z
"Grilled pork with artichoke, apple fritters: Marianna Leivaditaki's Greek recipes",https://www.theguardian.com/food/2020/sep/19/grilled-pork-with-artichoke-apple-fritters-marianna-leivaditakis-greece-inspired-recipes,2020-09-19T06:00:10Z
Tree of the week: the crab apple tree that makes booze,https://www.theguardian.com/lifeandstyle/2020/oct/12/tree-of-the-week-the-crab-apple-tree-that-makes-booze,2020-10-12T06:00:27Z
"Fortnite could face year-long Apple ban, says Epic Games",https://www.theguardian.com/games/2020/sep/09/fortnite-could-face-year-long-apple-ban-says-epic-games,2020-09-09T09:47:08Z
Google and Apple app stores investigated by Australia's competition watchdog,https://www.theguardian.com/media/2020/sep/08/google-and-apple-app-stores-investigated-by-australias-competition-watchdog,2020-09-08T08:51:58Z
"Apple launches smaller, cheaper iPhone",https://www.theguardian.com/technology/2020/apr/15/apple-launches-smaller-cheaper-new-iphone-se,2020-04-15T15:59:30Z
'This isn't the 1990s': Apple under pressure from app developers,https://www.theguardian.com/technology/2020/aug/30/this-isnt-the-1990s-apple-under-pressure-from-app-developers,2020-08-30T10:20:53Z
Apple security chief charged with trying to bribe police with iPads for gun licences,https://www.theguardian.com/technology/2020/nov/24/apple-security-chief-charged-with-bribing-police-with-ipads-for-gun-licences,2020-11-24T17:41:09Z
National Trust visitors get windfall as apple orchards produce bumper crops,https://www.theguardian.com/food/2020/sep/14/national-trust-visitors-get-windfall-as-apple-orchards-produce-bumper-crops,2020-09-14T06:00:20Z
Microsoft joins court battle between Apple and Fortnite maker Epic,https://www.theguardian.com/technology/2020/aug/24/microsoft-joins-court-battle-between-apple-and-fortnite-maker-epic,2020-08-24T12:02:03Z
Apple sets deadline in feud with Fortnite maker Epic Games,https://www.theguardian.com/games/2020/aug/18/apple-sets-deadline-in-feud-with-fortnite-maker-epic-games,2020-08-18T11:26:06Z
Apple promises to become fully carbon-neutral by 2030,https://www.theguardian.com/technology/2020/jul/21/apple-promises-to-become-fully-carbon-neutral-by-2030,2020-07-21T16:23:03Z
Apple and Google remove Fortnite video game from app stores,https://www.theguardian.com/technology/2020/aug/13/fortnite-maker-lawsuit-apple-app-store-removal,2020-08-14T07:16:40Z
