title,url,publishedAt
Tesla to raise another $5bn by selling shares,https://www.theguardian.com/technology/2020/dec/08/tesla-shares-p-500-index-stock-price,2020-12-08T15:09:32Z
Elon Musk: I tried to sell Tesla to Apple,https://www.theguardian.com/technology/2020/dec/23/elon-musk-i-tried-to-sell-tesla-to-apple,2020-12-23T02:08:36Z
Tesla joins Wall Street's S&P 500 share index,https://www.theguardian.com/technology/2020/dec/21/tesla-joins-wall-streets-sp-500-share-index,2020-12-21T16:56:00Z
Tesla investor defends electric carmaker's soaring share price,https://www.theguardian.com/technology/2020/nov/06/tesla-investor-defends-electric-carmakers-soaring-share-price,2020-11-06T12:24:55Z
Tesla review – sparky biopic of the inventor,https://www.theguardian.com/film/2020/sep/20/tesla-review-nikola-tesla-inventor-biopic-ethan-hawke-eve-hewson-michael-almereyda,2020-09-20T10:00:43Z
Can Tesla justify a $300bn valuation?,https://www.theguardian.com/technology/2020/jul/18/tesla-valuation-elon-musk-profit,2020-07-18T07:00:14Z
Electrifying returns: Scottish firm makes £13bn from Tesla shares,https://www.theguardian.com/money/2020/sep/11/scottish-firm-investing-in-tesla-baillie-gifford,2020-09-11T13:27:44Z
Victoria plans 300MW Tesla battery to help stabilise grid as renewables increase,https://www.theguardian.com/australia-news/2020/nov/05/victoria-plans-300mw-tesla-battery-to-help-stabilise-grid-as-renewables-increase,2020-11-05T02:38:24Z
A £4bn UK 'mini Tesla' choosing to list stock in US is worrying,https://www.theguardian.com/business/nils-pratley-on-finance/2020/nov/18/a-4bn-uk-mini-tesla-choosing-to-list-stock-in-us-is-worrying,2020-11-18T19:40:43Z
Elon Musk set to be world's third-richest person as Tesla shares soar,https://www.theguardian.com/technology/2020/nov/17/elon-musk-tesla-shares-facebook-mark-zuckerberg-s-p500,2020-11-17T12:13:40Z
Elon Musk becomes world's fourth richest man on Tesla boom,https://www.theguardian.com/business/2020/aug/19/elon-musk-becomes-worlds-fourth-richest-man-on-tesla-boom,2020-08-19T17:28:39Z
Tesla review – portrait of an inventor out of step with his time,https://www.theguardian.com/film/2020/sep/18/tesla-review-inventor-ethan-hawke-kyle-maclachlan-michael-almereyda,2020-09-18T07:00:20Z
